backbone,optim,lr,batch_size,frac_val,early_start,epochs,output_tab,double_img,torch_version,torchvision_version,executed,mem_usage,cum_mem
regnet16x,ranger,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,292998
regnet16x,ranger,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,295128
regnet16x,adam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,297258
regnet16x,adam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,299388
regnet16x,adam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,301518
regnet16x,ranger,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2130,303648
regnet16x,sgd,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,305796
regnet16x,sgd,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,307944
regnet16x,ranger,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,310092
regnet16x,sgd,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,312240
regnet16x,sgd,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,314388
regnet16x,ranger,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,316536
regnet16x,ranger,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,318684
regnet16x,radam,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,320832
regnet16x,adam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,322980
regnet16x,adam,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,325128
regnet16x,adam,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,327276
regnet16x,adam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,329424
regnet16x,radam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,331572
regnet16x,radam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,333720
regnet16x,ranger,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,335868
regnet16x,radam,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2148,338016
regnet16,adam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,340374
regnet16,adam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,342732
regnet16,adam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,345090
regnet16,radam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,347448
regnet16,radam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,349806
regnet16,radam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,352164
regnet16,sgd,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,354522
regnet16,sgd,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,356880
regnet16,radam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,359238
regnet16,sgd,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,361596
regnet16,ranger,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,363954
regnet16,ranger,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,366312
regnet16,ranger,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,368670
regnet16,ranger,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,371028
regnet16,adam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,373386
regnet16,sgd,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2358,375744
regnet16,sgd,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,378112
regnet16,radam,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,380480
regnet16,radam,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,382848
regnet16,radam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,385216
regnet16,sgd,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,387584
regnet16,sgd,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,389952
regnet16,sgd,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,392320
regnet16,radam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,394688
regnet16,ranger,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,397056
regnet16,ranger,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,399424
regnet16,ranger,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,401792
regnet16,adam,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,404160
regnet16,adam,0.0001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,406528
regnet16,adam,0.01,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,408896
