epochs,iter,train_acc_history,train_auc_history,train_loss_history,train_sensitivity_history,train_specificity_history,val_acc_history,val_auc_history,val_loss_history,val_sensitivity_history,val_specificity_history,backbone,Usando OCT,Dual Image,optim,lr,frac_val,k_fold,model_id
1,1,0.6505823627287853,0.4983512238196418,414.85471177101135,0.15568862275449102,0.8410138248847926,0.7070063694267517,0.5,170.69803202152252,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
2,1,0.7221297836938436,0.5,367.30522179603577,0.0,1.0,0.7070063694267517,0.5,102.85388052463531,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
3,1,0.7221297836938436,0.5,371.1218985915184,0.0,1.0,0.7070063694267517,0.5,107.77789962291718,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
4,1,0.7221297836938436,0.5,370.87418538331985,0.0,1.0,0.7070063694267517,0.5,206.89863044023514,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
5,1,0.7221297836938436,0.5,359.5091758966446,0.0,1.0,0.7070063694267517,0.5,98.01650583744049,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
6,1,0.7221297836938436,0.5,362.21089163422585,0.0,1.0,0.7070063694267517,0.5,112.13860785961151,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
7,1,0.7221297836938436,0.5,365.7497556209564,0.0,1.0,0.7070063694267517,0.5,239.47189569473267,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
8,1,0.7221297836938436,0.5,362.9174008965492,0.0,1.0,0.7070063694267517,0.5,97.53109097480774,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
9,1,0.7221297836938436,0.5,359.6913620233536,0.0,1.0,0.7070063694267517,0.5,95.09238475561142,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
10,1,0.7221297836938436,0.5,357.046606361866,0.0,1.0,0.7070063694267517,0.5,97.88365179300308,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
11,1,0.7221297836938436,0.5,357.97022247314453,0.0,1.0,0.7070063694267517,0.5,95.9505912065506,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
12,1,0.7221297836938436,0.5,362.23096865415573,0.0,1.0,0.7070063694267517,0.5,95.47042143344879,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
13,1,0.7221297836938436,0.5,358.5199939608574,0.0,1.0,0.7070063694267517,0.5,95.55540245771408,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
14,1,0.7221297836938436,0.5,360.3804517388344,0.0,1.0,0.7070063694267517,0.5,95.20328712463379,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
15,1,0.7221297836938436,0.5,356.77197724580765,0.0,1.0,0.7070063694267517,0.5,95.46910923719406,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
16,1,0.7221297836938436,0.5,355.45164144039154,0.0,1.0,0.7070063694267517,0.5,95.57705163955688,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
17,1,0.7221297836938436,0.5,364.0402717590332,0.0,1.0,0.7070063694267517,0.5,94.89946663379669,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
18,1,0.7221297836938436,0.5,356.507029235363,0.0,1.0,0.7070063694267517,0.5,94.82807195186615,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
19,1,0.7221297836938436,0.5,361.6281470656395,0.0,1.0,0.7070063694267517,0.5,94.87341469526291,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
20,1,0.7221297836938436,0.5,364.772577047348,0.0,1.0,0.7070063694267517,0.5,100.85717621445656,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
21,1,0.7221297836938436,0.5,362.40538984537125,0.0,1.0,0.7070063694267517,0.5,185.11998146772385,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
22,1,0.7171381031613977,0.4965437788018433,363.83516681194305,0.0,0.9930875576036866,0.7070063694267517,0.5,95.5803827047348,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
23,1,0.7221297836938436,0.5,360.42528945207596,0.0,1.0,0.7070063694267517,0.5,94.60277020931244,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
24,1,0.7221297836938436,0.5,354.6756670176983,0.0,1.0,0.7070063694267517,0.5,97.19937086105347,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
25,1,0.7154742096505824,0.49539170506912444,363.17204463481903,0.0,0.9907834101382489,0.7070063694267517,0.5,170.34600019454956,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
26,1,0.7221297836938436,0.5,359.18189549446106,0.0,1.0,0.7070063694267517,0.5,94.80152022838593,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
